SKUs,Total Box,Item 1,Box,Item 1 Length,Item 1 Width,Item 1 Height,Item 1 Weight,Item 2,Box,Item 2 Length,Item 2 Width,Item 2 Height,Item 2 Weight,Item 3,Box,Item 3 Length,Item 3 Width,Item 3 Height,Item 3 Weight,Item 4,Box,Item 4 Length,Item 4 Width,Item 4 Height,Item 4 Weight
ANAD3-LWH-LC,3,ANT-LWH-T,1,39,39,6,33,ANT-LWH-P,1,26,9,7,14,ADC-LWH-LC,1,38,20,12,40,,,,,,
ANAD5-LWH-LC,4,ANT-LWH-T,1,39,39,6,33,ANT-LWH-P,1,26,9,7,14,ADC-LWH-LC,2,38,20,12,40,,,,,,
AVAD5-LWH-LC,4,AVT-LWH-T,1,45,45,9,84,AVT-LWH-P,1,24,11,9,20,ADC-LWH-LC,2,38,20,12,40,,,,,,
AVAD7-LWH-LC,5,AVT-LWH-T,1,45,45,9,84,AVT-LWH-P,1,24,11,9,20,ADC-LWH-LC,3,38,20,12,40,,,,,,
BOAD3-LWH-LC,2,BOT-WHI-T,1,44,44,6,64,,,,,,,ADC-LWH-LC,1,38,20,12,40,,,,,,
BOAD5-LWH-LC,3,BOT-WHI-T,1,44,44,6,64,,,,,,,ADC-LWH-LC,2,38,20,12,40,,,,,,
CAAD5-LWH-LC,3,CAT-LWH-S,1,64,41,7,84,,,,,,,ADC-LWH-LC,2,38,20,12,40,,,,,,
CAAD5C-LWH-LC,4,CAT-LWH-S,1,64,41,7,84,,,,,,,ADC-LWH-LC,1,38,20,12,40,CAB-LWH-W,2,55,18,5,31
CAAD6-LWH-LC,4,CAT-LWH-S,1,64,41,7,84,,,,,,,ADC-LWH-LC,2,38,20,12,40,CAB-LWH-W,1,55,18,5,31
CAAD7-LWH-LC,4,CAT-LWH-S,1,64,41,7,84,,,,,,,ADC-LWH-LC,3,38,20,12,40,,,,,,
DLAD3-LWH-LC,3,DLT-WHI-T,1,45,27,4,31,DLT-WHI-P,1,26,9,6,14,ADC-LWH-LC,1,38,20,12,40,,,,,,
DLAD5-LWH-LC,4,DLT-WHI-T,1,45,27,4,31,DLT-WHI-P,1,26,9,6,14,ADC-LWH-LC,2,38,20,12,40,,,,,,
DOAD5-LWH-LC,3,DOT-LWH-T,1,64,46,7,133,,,,,,,ADC-LWH-LC,2,38,20,12,40,,,,,,
DOAD7-LWH-LC,4,DOT-LWH-T,1,64,46,7,133,,,,,,,ADC-LWH-LC,3,38,20,12,40,,,,,,
DOAD9-LWH-LC,5,DOT-LWH-T,1,64,46,7,133,,,,,,,ADC-LWH-LC,4,38,20,12,40,,,,,,
HLAD3-LWH-LC,3,HLT-LWH-T,1,45,45,6,55,HLT-LWH-P,1,26,9,7,11,ADC-LWH-LC,1,38,20,12,40,,,,,,
HLAD5-LWH-LC,4,HLT-LWH-T,1,45,45,6,55,HLT-LWH-P,1,26,9,7,11,ADC-LWH-LC,2,38,20,12,40,,,,,,
LGAD5-LWH-LC,4,LGT-LWH-T,1,71,47,8,121,LGT-LWH-L,1,32,15,5,31,ADC-LWH-LC,2,38,20,12,40,,,,,,
LGAD7-LWH-LC,5,LGT-LWH-T,1,71,47,8,121,LGT-LWH-L,1,32,15,5,31,ADC-LWH-LC,3,38,20,12,40,,,,,,
LGAD9-LWH-LC,6,LGT-LWH-T,1,71,47,8,121,LGT-LWH-L,1,32,15,5,31,ADC-LWH-LC,4,38,20,12,40,,,,,,
